,Gas Peak Obserbation of Drilling Well,,,,,,,,,,,,
,Depth,Total Gas,C1,C2,C 3,iC4,nC4,iC5,nC5,Gas,,,
,(m),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),(ppm),Type,,,
,SANU,,,,,,,,,,,,
,2343,1357,52,0,0,4,1,1,1,FG,,,
,2344,1347,47,8,0,4,0,1,1,FG,,,
,2345,1324,53,8,0,4,1,0,1,FG,,,
,2346,1325,54,9,0,4,1,0,1,FG,,,
,2347,1309,47,8,0,4,1,1,1,FG,,,
,2348,1303,45,7,0,4,1,1,1,FG,,,
,2349,1295,38,7,0,4,1,0,1,FG,,,
,2350,1350,72,10,0,5,1,1,1,FG,,,
,2351,1270,39,7,0,4,1,0,1,FG,,,
,2352,1244,36,7,0,4,1,1,1,FG,,,
,2353,1108,35,7,0,4,1,1,1,FG,,,
,2354,1091,36,7,0,4,1,1,1,FG,,,
,2355,891,38,7,0,3,1,0,1,FG,,,
,2356,884,39,6,0,4,1,0,1,FG,,,
,2357,907,42,7,0,4,1,0,1,FG,,,
,2358,979,50,8,0,4,1,1,1,FG,,,
,2359,1002,71,11,0,4,1,1,1,FG,,,
,2362,1005,33,0,0,4,1,1,1,FG,,,
,2363,1002,33,0,0,3,1,0,0,FG,,,
,2368,985,31,0,0,3,1,1,1,FG,,,
,2369,1095,63,10,0,5,1,1,1,FG,,,
,2370,1072,43,7,0,3,1,0,1,FG,,,
,2371,1074,46,0,0,4,1,1,1,FG,,,
,2372,1083,39,7,0,3,1,0,1,FG,,,
,2391,1909,50,8,0,3,1,1,0,FG,,,
,2394,1911,52,8,0,3,1,1,1,FG,,,
,2416,1619,52,0,0,5,1,1,1,FG,,,
,2417,1597,50,0,0,4,0,1,1,FG,,,
,2422,1482,52,8,0,4,1,3,0,FG,,,
,2423,1386,58,9,0,4,0,0,0,FG,,,
,2427,1428,59,9,0,3,1,0,0,FG,,,
,2436,1807,91,13,0,6,2,1,0,FG,,,
,2440,1472,79,11,0,4,1,0,1,FG,,,
,2446,1454,103,15,0,5,2,2,4,FG,,,
,2456,1621,165,0,1,7,2,2,3,FG,,,
,2475,2209,160,0,1,9,3,2,3,FG,,,
,2503,1612,84,17,0,6,2,3,4,FG,,,
,2521,2403,86,0,0,3,1,1,1,FG,,,
,2532,3648,103,0,0,7,3,3,0,FG,,,
,2535,3621,65,0,0,5,2,1,0,FG,,,
,2541,3039,73,0,0,6,3,2,0,FG,,,
,2551,4434,93,13,0,4,0,0,0,FG,,,
,2554,4595,69,12,0,4,0,0,1,FG,,,
,2556,4442,72,13,0,4,0,1,1,FG,,,
,2560,4427,199,26,0,4,1,1,0,FG,,,
,2561,4688,275,0,1,5,1,1,1,FG,,,
,2563,4277,120,18,0,4,1,1,0,FG,,,
,2565,4490,145,19,0,4,1,4,1,FG,,,
,GORU,,,,,,,,,FG,,,
,2668,3949,139,19,0,4,1,2,1,FG,,,
,2570,4696,494,54,25,7,3,2,1,FG,,,
,2572,4256,478,41,18,5,2,6,1,FG,,,
,2577,3952,388,41,18,5,2,6,1,FG,,,
,2580,4925,454,61,30,8,4,7,2,FG,,,
,2589,5415,591,70,36,10,5,6,2,FG,,,
,2595,4572,568,54,25,6,4,6,1,FG,,,
,2599,5634,826,92,51,11,7,4,1,FG,,,
,2600,5183,708,81,46,10,7,4,1,FG,,,
,2609,4484,536,72,35,9,6,4,1,FG,,,
,2610,4898,670,92,51,12,8,1,0,FG,,,
,2629,5054,787,115,66,16,14,0,5,FG,,,
,2639,6202,1274,199,125,25,25,5,6,FG,,,
,2640,5709,1088,166,104,21,21,0,3,FG,,,
,2649,4983,775,105,60,14,15,0,3,FG,,,
,2651,4869,814,106,60,13,14,0,1,FG,,,
,2652,5139,896,114,64,14,15,0,0,FG,,,
,2655,5415,953,113,63,14,15,0,1,FG,,,
,2657,5792,1040,164,99,23,26,7,7,FG,,,
,2661,5446,983,127,75,14,17,7,5,FG,,,
,2667,5653,1028,145,85,17,20,9,2,FG,,,
,2668,7058,1714,244,157,27,33,10,3,FG,,,
,2669,6736,1589,225,146,26,32,10,3,FG,,,
,2676,7830,1870,282,184,35,43,23,3,FG,,,
,2686,8228,1525,242,153,35,45,25,0,FG,,,
,2693,6935,1135,156,94,21,27,10,3,FG,,,
,2703,6893,1159,159,96,20,0,19,4,FG,,,
